"system:time_start","SPI-1","1-month precip"
"Feb 1, 2000","-0.852","241.279"
"Mar 1, 2000","-0.725","263.002"
"Apr 1, 2000","1.635","445.979"
"May 1, 2000","1.362","339.565"
"Jun 1, 2000","0.616","115.66"
"Jul 1, 2000","-0.253","51.329"
"Aug 1, 2000","-0.239","49.848"
"Sep 1, 2000","-0.541","64.187"
"Oct 1, 2000","0.086","299.218"
"Nov 1, 2000","1.726","610.238"
"Dec 1, 2000","-1.494","221.112"
"Jan 1, 2001","1.931","376.472"
"Feb 1, 2001","-0.195","269.838"
"Mar 1, 2001","0.818","366.912"
"Apr 1, 2001","1.469","423.54"
"May 1, 2001","-0.102","231.721"
"Jun 1, 2001","1.001","139.543"
"Jul 1, 2001","-0.276","57.94"
"Aug 1, 2001","-0.679","27.591"
"Sep 1, 2001","0.352","107.285"
"Oct 1, 2001","1.874","487.818"
"Nov 1, 2001","1.089","548.012"
"Dec 1, 2001","-1.265","246.045"
"Jan 1, 2002","0.989","314.454"
"Feb 1, 2002","-0.45","255.008"
"Mar 1, 2002","-0.438","286.851"
"Apr 1, 2002","-1.496","203.779"
"May 1, 2002","-0.664","167.292"
"Jun 1, 2002","-1.015","38.001"
"Jul 1, 2002","0.256","86.334"
"Aug 1, 2002","-0.481","36.781"
"Sep 1, 2002","-0.685","24.576"
"Oct 1, 2002","-1.28","36.121"
"Nov 1, 2002","-0.411","331.067"
"Dec 1, 2002","-1.01","272.126"
"Jan 1, 2003","-1.444","156.765"
"Feb 1, 2003","0.634","319.282"
"Mar 1, 2003","-2.017","185.55"
"Apr 1, 2003","-2.032","164.092"
"May 1, 2003","-0.987","130.34"
"Jun 1, 2003","-1.461","15.769"
"Jul 1, 2003","-1.036","17.433"
"Aug 1, 2003","-0.322","44.181"
"Sep 1, 2003","0","79.241"
"Oct 1, 2003","0.594","304.418"
"Nov 1, 2003","0.239","425.444"
"Dec 1, 2003","-0.641","310.429"
"Jan 1, 2004","0.918","310.389"
"Feb 1, 2004","-0.243","281.3"
"Mar 1, 2004","0.705","364.178"
"Apr 1, 2004","0.359","317.123"
"May 1, 2004","0.764","268.47"
"Jun 1, 2004","-0.31","66.93"
"Jul 1, 2004","0.277","77.771"
"Aug 1, 2004","-0.534","33.022"
"Sep 1, 2004","-0.292","93.912"
"Oct 1, 2004","-1.509","47.359"
"Nov 1, 2004","-0.777","283.786"
"Dec 1, 2004","0.417","421.677"
"Jan 1, 2005","-0.212","236.049"
"Feb 1, 2005","0.336","301.766"
"Mar 1, 2005","0.472","344.709"
"Apr 1, 2005","-1.169","228.256"
"May 1, 2005","-0.642","169.857"
"Jun 1, 2005","0.992","138.808"
"Jul 1, 2005","0.237","85.564"
"Aug 1, 2005","0.587","87.162"
"Sep 1, 2005","0.171","92.982"
"Oct 1, 2005","0.14","239.74"
"Nov 1, 2005","-0.314","343.736"
"Dec 1, 2005","0.415","421.366"
"Jan 1, 2006","1.061","319.352"
"Feb 1, 2006","0.264","297.682"
"Mar 1, 2006","0.417","341.753"
"Apr 1, 2006","0.017","315.664"
"May 1, 2006","0.319","279.623"
"Jun 1, 2006","-0.747","51.42"
"Jul 1, 2006","-0.761","32.078"
"Aug 1, 2006","-0.887","17.831"
"Sep 1, 2006","-0.781","16.972"
"Oct 1, 2006","-0.969","80.602"
"Nov 1, 2006","-1.599","157.509"
"Dec 1, 2006","0.003","377.944"
"Jan 1, 2007","-1.314","164.522"
"Feb 1, 2007","-0.09","276.583"
"Mar 1, 2007","0.694","359.67"
"Apr 1, 2007","1.796","447.82"
"May 1, 2007","-0.086","233.301"
"Jun 1, 2007","-0.257","76.206"
"Jul 1, 2007","-0.714","34.508"
"Aug 1, 2007","-0.531","34.956"
"Sep 1, 2007","-0.267","57.98"
"Oct 1, 2007","-0.197","191.278"
"Nov 1, 2007","-0.071","378.878"
"Dec 1, 2007","3.711","767.758"
"Jan 1, 2008","0.169","261.387"
"Feb 1, 2008","0.859","353.309"
"Mar 1, 2008","0.555","353.185"
"Apr 1, 2008","0.92","373.973"
"May 1, 2008","-0.565","109.917"
"Jun 1, 2008","-0.971","32.367"
"Jul 1, 2008","-0.883","19.38"
"Aug 1, 2008","-0.156","54.498"
"Sep 1, 2008","-0.714","43.373"
"Oct 1, 2008","-0.526","202.653"
"Nov 1, 2008","0.67","472.938"
"Dec 1, 2008","1.348","520.027"
"Jan 1, 2009","0.195","262.897"
"Feb 1, 2009","-0.223","268.524"
"Mar 1, 2009","-1.348","228.854"
"Apr 1, 2009","-1.119","231.714"
"May 1, 2009","0.608","312.666"
"Jun 1, 2009","0.587","118.214"
"Jul 1, 2009","-0.801","30.095"
"Aug 1, 2009","-0.873","18.507"
"Sep 1, 2009","0.012","80.159"
"Oct 1, 2009","-0.302","176.169"
"Nov 1, 2009","-0.003","389.125"
"Dec 1, 2009","-1.084","264.254"
"Jan 1, 2010","0.4","276.473"
"Feb 1, 2010","1.255","355.953"
"Mar 1, 2010","1.735","426.542"
"Apr 1, 2010","-0.352","288.97"
"May 1, 2010","2.472","526"
"Jun 1, 2010","0.502","114.152"
"Jul 1, 2010","2.349","197.993"
"Aug 1, 2010","3.525","224.748"
"Sep 1, 2010","3.209","335.268"
"Oct 1, 2010","1.107","378.27"
"Nov 1, 2010","-0.28","349.559"
"Dec 1, 2010","-0.397","336.161"
"Jan 1, 2011","-0.194","237.644"
"Feb 1, 2011","-1.764","176.482"
"Mar 1, 2011","-0.361","292.046"
"Apr 1, 2011","-0.147","303.944"
"May 1, 2011","0.293","276.58"
"Jun 1, 2011","-0.327","72.861"
"Jul 1, 2011","-0.591","41.134"
"Aug 1, 2011","-0.894","17.519"
"Sep 1, 2011","-0.637","28.419"
"Oct 1, 2011","-0.598","133.831"
"Nov 1, 2011","0.752","499.963"
"Dec 1, 2011","0.429","422.888"
"Jan 1, 2012","-0.701","204.433"
"Feb 1, 2012","-0.917","237.431"
"Mar 1, 2012","-0.971","245.562"
"Apr 1, 2012","0.375","318.768"
"May 1, 2012","-0.039","172.607"
"Jun 1, 2012","-0.181","73.546"
"Jul 1, 2012","-0.743","26.499"
"Aug 1, 2012","-0.426","39.232"
"Sep 1, 2012","-0.838","28.583"
"Oct 1, 2012","-0.559","197.687"
"Nov 1, 2012","0.038","389.384"
"Dec 1, 2012","0.877","469.724"
"Jan 1, 2013","2.085","387.035"
"Feb 1, 2013","-0.781","235.174"
"Mar 1, 2013","0.048","318.363"
"Apr 1, 2013","-0.262","295.228"
"May 1, 2013","2.986","584.661"
"Jun 1, 2013","1.497","164.27"
"Jul 1, 2013","2.373","199.022"
"Aug 1, 2013","-0.615","30.597"
"Sep 1, 2013","-0.296","55.57"
"Oct 1, 2013","-0.433","157.403"
"Nov 1, 2013","-0.683","290.413"
"Dec 1, 2013","2.255","614.254"
"Jan 1, 2014","2.539","416.515"
"Feb 1, 2014","1.224","353.998"
"Mar 1, 2014","0.231","330.394"
"Apr 1, 2014","0.904","381.59"
"May 1, 2014","-0.171","223.613"
"Jun 1, 2014","0.556","116.992"
"Jul 1, 2014","1.791","167.197"
"Aug 1, 2014","-0.684","26.67"
"Sep 1, 2014","-0.813","14.4"
"Oct 1, 2014","-1.191","48.716"
"Nov 1, 2014","0.052","396.707"
"Dec 1, 2014","0.765","457.704"
"Jan 1, 2015","-0.104","243.981"
"Feb 1, 2015","1.696","382.38"
"Mar 1, 2015","-0.15","305.144"
"Apr 1, 2015","-0.805","255.538"
"May 1, 2015","-1.092","118.266"
"Jun 1, 2015","-1.349","21.254"
"Jul 1, 2015","-1.039","17.239"
"Aug 1, 2015","-0.847","19.568"
"Sep 1, 2015","-0.758","18.773"
"Oct 1, 2015","-1.325","29.571"
"Nov 1, 2015","-0.731","282.543"
"Dec 1, 2015","-0.057","371.832"
"Jan 1, 2016","-0.976","186.301"
"Feb 1, 2016","0.65","340.194"
"Mar 1, 2016","0.769","368.219"
"Apr 1, 2016","0.473","328.531"
"May 1, 2016","1.02","298.726"
